nome;lat;lng;tipo
Juliana Naumes De Souza Me;-234.629.724.526.996;-466.528.031.588.274;verde
Gdlp Comercio De Calc E Vest E Aces;-235.288.204.582.063;-466.356.635.177.415;verde
Santos Futebol Clube;-239.509.188.516.506;-463.397.957.189.008;verde
Esporte Emocao Com De Mat E Lt Me;-234.970.449.173.823;-464.013.975.766.085;verde
Tenisstar Comercio De Calcados Ltda;-235.416.715.503.123;-466.146.466.728.253;verde
Sao Paulo Futebol Clube;-236.007.521.613.498;-46.719.996.488.903;verde
Smx Magazine Ltda Me;-235.967.251.804.363;-465.588.414.330.831;verde
Gaspari Iv Com De Calcados Ltda;-23.555.463.612.478;-466.010.799.195.923;verde
FLYTE COM CALCADOS LTDA;-235.229.658.065.347;-461.949.522.911.589;verde
J F Pereira Calcados Ltda;-238.010.384.418.988;-454.020.604.046.455;verde
Vida Calcados E Bolsas Ltda Epp;-235.369.820.935.824;-464.547.611.582.229;verde
Maze Skate Shop Comercio De Roupas Ltda;-236.026.695.582.305;-466.340.411.942.674;verde
Street Point Modas Ltda Me;-238.827.994.506.749;-464.219.631.554.733;verde
Ea9 Fashion Com De Roupas E Calc Lt;-23.491.147.709.147;-464.436.459.693.323;verde
Guenatz Modas Ltda;-234.912.626.069.613;-464.439.383.889.068;verde
Stanch Artigos Esportivos Ltda Epp;-235.468.075.982.356;-466.358.261.195.925;verde
NIKE DO BRASIL COM PART LTDA;-234.332.361.854.584;-462.722.898.259.297;verde
Mmbf Com De Art Esp E Alim Ltda;-235.268.663.521.743;-465.655.111.743.962;verde
V E C Comercio De Calcados Ltda;-236.233.927.019.146;-465.936.682.401.339;verde
Fatima Ines Aires B De Freitas Epp;-235.961.065.158.561;-465.236.962.870.516;verde
Comercio De Calcados Di Gaspi Vii L;-237.121.144.883.734;-466.984.688.142.208;verde
Keep Running Comer De Prod Esport L;-235.922.079.721.957;-466.374.032.240.587;verde
Dib S Modas Ltda;-234.924.271.926.068;-464.405.706.619.224;verde
Jabuticabeira Comercio De Calcados;-234.922.395.294.659;-464.409.013.042.505;verde
Sao Miguel Calc Bolsas Ltda;-234.915.875.925.543;-464.408.756.709.843;verde
Tenisstar Comercio De Calcados Ltda;-231.826.648.660.817;-458.856.917.907.682;verde
Strema Sport Ltda;-235.983.113.481.164;-466.003.095.956.634;verde
Nrg Comercio De Calc Ltda;-235.779.857.268.545;-466.025.640.286.375;verde
Universidade Comercio De Calcados L;-235.660.074.277.293;-466.917.018.349.358;verde
Universidade Comercio De Calcados L;-235.660.961.959.505;-466.919.304.330.842;verde
Pontal Com De Calcados Ltda;-239.409.463.345.893;-463.048.720.146.129;verde
Id Liberdade Com. De Art. Da Moda L;-235.575.619.024.345;-46.636.306.259.493;verde
Guadalupe Comercio De Calcados E;-235.300.782.149.865;-466.344.881.649.064;verde
Heat Comercio De Calcados E Eventos;-235.298.856.173.651;-466.347.098.177.414;verde
Nair De Jesus Rodrigues Cal Eireli;-234.793.823.283.969;-46.608.265.488.749;verde
Magazine Mundial Ltda;-235.433.352.949.687;-465.749.886.979.573;verde
Nina Jaragua Calcados E Bolsas Ltda;-234.842.159.150.998;-467.554.777.177.428;verde
Idn Comercio De Artigos Da Moda Ltda Me;-235.435.167.088.082;-466.401.491.502.496;verde
Ze Da Shalako Calcados Eireli Epp;-236.381.768.150.408;-465.646.041.692.268;verde
Magazine Mundial Ltda;-235.015.235.199.935;-466.260.115.410.974;verde
J Union Conf E Com De Rop E Art Esp;-235.035.861.070.299;-466.262.114.509.996;verde
Vancouver Sports Calcados Ltda;-235.020.238.575.605;-466.263.904.042.501;verde
Pontal Calcados E Bolsas Ltda;-235.019.549.856.913;-46.626.422.590.758;verde
Shoebiz Comercio De Calcados Ltda;-235.002.765.996.616;-466.259.694.330.862;verde
Dkk Calcados E Confec Ltda;-235.414.449.046.699;-463.665.363.042.489;verde
SANMELL MOTOS LTDA;-239.919.811.352.359;-462.733.857.330.702;amarelo
Dp - Remaza Ipiranga;-235.729.173.071.434;-466.057.622.042.479;amarelo
M M UNIVERSO COM MOTOC PECAS LTDA;-232.255.273.014.797;-458.844.016.512.593;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-236.644.877.922.856;-464.534.513.772.606;amarelo
UNITED AUTO NAGOYA LTDA;-234.724.490.722.666;-465.232.990.492.262;amarelo
SANMELL MOTOS LTDA;-239.630.062.373.304;-463.805.039.285.528;amarelo
MOTO REMAZA DISTR VEICULOS E PECAS;-23.584.643.793.117;-467.403.420.442.586;amarelo
STR MOTOS LTDA;-23.567.261.987.255;-464.998.155.796.526;amarelo
UNITED AUTO NAGOYA COMERCIO DE VEICULOS;-23.567.631.399.594;-46.498.992.856.462;amarelo
HIURI COMERCIO DE MOTOS E SERVICOS;-236.666.457.939.767;-467.117.142.727.979;amarelo
